Destination,Country code,World,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Guinea,324,378464,235,643,,,,,,,,,,,,,,,,,,,,131,,1493,,,,,,157,,,,305,,,,189,63,,,,,,,85,,,,,,,,6710,,39,,,,,,,,,,,,,,,,,,,,,1044,,,,515,,539,850,,,,,,,,,1777,,,,,,,,,39,,,,,66,,17,,,,,,,,,542,,118353,,,,,,,2,,9873,,,,245,,,,,,,,,,,,,,,,,,,885,578,,,,,3,,,,,,,,151,,,89,,,,304,,,,,,,,,,433,4299,,,226415,,,,,,,,,38,,,,,,,,20,,,,,932,,,,,,,,,,54,,,,351,,,,,,,,,,,
Guinea-Bissau,624,18024,558,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,1410,,,,,,,,,,,4655,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,,,,,,,,,,,,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,,,,,,,,,,,,,,,,,,7422,,,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,
Liberia,430,225484,1664,4887,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,232,,,,13,,,,,,,,,,,,,,,,150586,,,,,,,,,,,,,,,,,,,,,,,16,,,,745,,49,7399,,,,,,,,37026,119,,,,,,,746,,,,,,,13,,,,,,,,,,,912,,,,,,,,,,,1326,,,,,,,,,,,,,,,,,,,16,,,,59,5152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,,,13165,,,,,,,,,15,,,,,,59,8,,,,,,383,,,,,,,,,,,,60,,473,,,,,,,,,,,
Mali,466,195553,1961,17654,,,635,,,75,,,,,,,,,,,,,,,,596,,,,,,,,,,23145,,,650,,,,,310,,,,86,,,,,4427,,,80258,,,,,,,,,,,,,,,,,,,,,,,2695,,,4913,654,,,2741,,,,,,,,16833,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,,,,,,,,,,,,,14488,,,,,,,,,,,,,,,,,,,6039,1748,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,12310,,,1350,,,,,,,,,,,,,,,,,,,,,,982,,,,,,,,,,,,,,255,,,,,,,,,,,
Mauritania,478,90206,415,1657,2,,3505,,,,,,147,,,,,,,,17,,,137,,1188,,,,,,347,,,,,,,847,114,,,,,116,,60,346,,,,,,,,423,,8,,,,,76,,,,,,489,,,,,,,,,,3018,,,185,,,68,451,,,,,,,,6635,2575,,4,,,,,,,,185,,,,121,,,,,,,69,,,,257,,,300,,,,,,,,16358,,,,,,,,,,,,,740,,,,,,54,,,,328,,,,,,,,,,,4,,,,,25,156,,,40,137,,,,,,,,,,661,45775,,,,,,,,,,,85,185,,328,44,,,,30,301,,,,,253,,,,534,,,,,,,151,,,240,,,,,,,,,15,,
Niger,562,132294,2060,8590,,,475,,,,,,,,,,,,,,,,,,,18483,,,,,,,,,,19945,,,430,,,,,,780,,,,,,,,,,,1241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,46584,,,,,,,,,,,,,,,,,,,,,,,,20062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187,,,,,,,,,,,479,,,,67,,,,,,,,,,10014,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,566,1233592,122445,165547,,,,,,,,,,,,2067,,,,,,,,,,226349,,,,,,,,,,7883,,,48162,,4042,,,,52251,,,,,,,,,,,4138,,,,,,,,,,,,,18263,,9087,,,,,,,,,,,,6176,,,176493,,,,,,,,5878,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,18330,,,,,,,,,126631,,,,34196,,,,,,,,,,,,,,,,,,,83047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4505,,,3640,,,,,,,,,,,,,,,,,,,,,,109862,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,654,590,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,2,,,4,,,,,,4,,,,,,,,,,,,,,,,,7,,,,2,,,,,,,,7,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,2,,,,,,,,,,2,,,,,,,,,401,,17,,,,,,,,,,10,2
Senegal,686,209398,11158,22315,,,3222,,,,,,,,,,,,,,,,,,,2775,,,,,,498,,,,,,,780,,,,,,,,,,,,,,,,,2160,,,,,,,,,,,,,,,,,,,,,,,10652,,,,3965,,671,1373,,,,,,,,39594,22670,,,,,,,,,,,,,,,,,,,,,,,,,849,,,,,,,,,,,26193,,,,40955,,,,,,,,,3167,,,,,,,,,,1300,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096,,,,11453,,,,,,,,,,,,,,,,,,,,,,1284,,,,,,,,,,,,,,616,,,,,,,,,,,
Sierra Leone,694,96368,593,1257,,,,,,,,,,,,,,,,,,,,,,213,,,,,,,,,,29,,,,31,5,,,,,,,229,,,,,,,,368,,,,,,6,,,,,,,,,,,,,,,,,,,,,2472,,111,1341,,,,,,,,61510,20,,,,,,,372,,,,,,,,,6,,,51,,,,,,815,,22144,,,,,,,,,743,,,,116,,,,,,,,,,,,,,,,,,,132,2091,,,,,134,,,,,,,,,,,13,,,,62,,,,,,,,,,,662,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,343,,358,,,,,,,,,,104,
Togo,768,202476,10204,51034,,,,,,,,,,,,,,,,,,,,,,54857,,,,,,,,,,,13,,,,,,,19,17,,,,,,,,29,,,5154,,,,,,,92,,,,,,,,,,,,,,,,4906,,,,,,594,37764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,,9,,,,,,,,,2371,,,,,,,,,,,,,,,,,,,,,,,15871,16183,,,,,,,,,,,,,,,,,,,,,2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,,,,,,,,,,,
ASIA,935,70846771,1205384,2354799,4691328,5462,48387,0,12,529,0,22331,45130,41846,69,80108,28500,369778,11,46201,7091120,4,193092,20919,2,18,11,86596,65,3641,31,509378,112,32080,740563,2,9,804301,91,88047,131,0,2,27,18499,2,3670,4779763,92629,114931,3180,14,538,0,128,18,451,233,13,15503,2741,190465,885,9240,12,12,177,473,2894939,24,17,67909,9623,133864,0,0,190,5464,103438,0,1,8,22,112509,570497,2534,10,123496,0,2,72,1201,63,16,1,8,7,0,36,15604,160,9886425,2558631,107945,1490650,4177,0,70370,16443,51,221783,475785,179609,2841,0,238747,46573,1017520,17571,114380,13,29,36860,1,39072,85,13,21,1325473,220,19,111,15,0,240,327,0,5338,0,11,28203,54865,0,201783,25,2497910,11,1,855527,55300,2,42816,17,24,30763,0,8,22013,10654,4336421,241,65,65,47,93636,2378221,132856,3692,72,12042,1005555,56284,8,148520,3923455,28,0,0,8,0,0,24,1,0,54982,122,112734,13,20,128957,0,650,240,2,269146,21156,63370,7778,586165,3127758,511609,157,3,12976,23866,352447,90623,279402,46771,20134,8,0,0,25,46803,313991,24597,0,2,781,712675,83110,329024,503,481240,8,6575,416350,4,550,373241,23,0,810841,1030,388
Central Asia,5500,5471533,21046,91718,8137,0,110,0,0,0,0,0,0,30701,0,0,115,93618,0,0,0,0,143391,0,0,0,0,0,0,0,0,0,0,0,3977,0,0,0,0,0,0,0,0,0,0,0,0,7676,0,0,0,0,0,0,0,0,0,0,0,0,375,163139,0,260,0,0,0,0,0,0,0,0,7978,0,0,0,0,1087,0,0,0,0,0,33123,112879,0,0,2894,0,0,0,0,0,0,0,0,0,0,0,620,0,694,0,1009,0,0,0,258,0,0,0,0,120971,0,0,0,34163,0,11040,0,0,0,0,0,28007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,157,0,0,0,0,0,0,57271,0,0,0,21223,33931,0,4481,3441692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,125,58111,0,0,0,0,0,0,0,0,95809,11082,0,0,0,495311,0,454,0,349,0,0,330676,0,0,1013,0,0,0,0,0
Kazakhstan,398,3476233,,,,,,,,,,,,8416,,,,49997,,,,,50377,,,,,,,,,,,,3355,,,,,,,,,,,,,5142,,,,,,,,,,,,,,146487,,,,,,,,,,,2643,,,,,,,,,,,2173,95824,,,2534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6185,,2643,,,,,,3384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27414,,,,18975,8440,,,2367340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37614,,,,,,,,,85383,2493,,,,245351,,,,,,,304063,,,,,,,,
Kyrgyzstan,417,226960,2503,2384,,,,,,,,,,2644,,,,5195,,,,,11045,,,,,,,,,,,,,,,,,,,,,,,,,303,,,,,,,,,,,,,,1974,,,,,,,,,,,637,,,,,130,,,,,,3631,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,14369,,,,,,1003,,,,,,2943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3568,,,,261,2954,,535,124085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449,,,,,,,,,1168,1112,,,,29726,,,,,,,10198,,,121,,,,,
Tajikistan,762,275735,200,799,7704,,110,,,,,,,165,,,,142,,,,,572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,129,,,,,,,,,,,,,,,,,,,,560,132,,,,,,,,,,,,,,,,,521,,1009,,,,,,,,,707,,,,11054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,157,,,,,,,,,,,,772,,,241702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,377,,,,1186,,265,,232,,,6348,,,,,,,,
Turkmenistan,795,226327,2423,3537,,,,,,,,,,2609,,,,5127,,,,,10902,,,,,,,,,,,,,,,,,,,,,,,,,298,,,,,,,,,,,,,,1949,,,,,,,,,,,629,,,,,128,,,,,,3584,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,14184,,,,2267,,990,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521,,,,266,2915,,528,122476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2417,,,,,,,,,1152,,,,,29339,,,,,,,10067,,,119,,,,,
Uzbekistan,860,1266278,15920,84998,433,,,,,,,,,16867,,,115,33157,,,,,70495,,,,,,,,,,,,622,,,,,,,,,,,,,1933,,,,,,,,,,,,,375,12598,,131,,,,,,,,,4069,,,,,829,,,,,,23175,12905,,,360,,,,,,,,,,,,620,,173,,,,,,258,,,,,91711,,,,14657,,6404,,,,,,18776,,,,,,,,,,,,,,,,629,,,,,,,,,,,,,,,,,,,,,,,,,,22768,,,,1721,18850,,3418,586089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,125,15631,,,,,,,,,7453,7100,,,,189709,,189,,117,,,,,,773,,,,,
Eastern Asia,906,7719960,80144,189591,0,0,0,0,0,0,0,0,4515,0,0,36490,659,0,0,0,31726,0,0,808,0,0,0,0,0,0,0,483890,0,0,14,0,0,17300,0,61269,0,0,0,0,0,0,0,3903184,28487,94772,0,0,0,0,0,0,0,0,0,0,16,551,0,647,0,0,0,0,1850,0,0,0,0,0,0,0,0,699,14267,0,0,0,0,0,10711,2165,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,61298,256263,6077,0,1985,0,0,3303,0,47558,0,1720,0,0,0,2042,2,0,0,0,0,0,0,0,0,0,0,32638,0,0,0,0,0,0,0,0,2231,0,0,27145,0,0,0,0,4748,0,0,20702,2412,0,9006,0,0,4471,0,0,454,0,35704,0,0,0,0,90787,527790,1152,2114,0,0,933122,0,0,0,22179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12557,0,3,0,0,0,2075,0,2303,39286,0,0,0,0,1575,1923,0,0,124482,4,0,0,0,0,0,0,194,0,0,0,0,0,0,56419,0,189240,0,2,25887,0,0,203341,0,0,0,0,0
China,156,848511,28711,59897,,,,,,,,,,,,8362,,,,,6282,,,,,,,,,,,115347,,,,,,,,13779,,,,,,,,,6827,24318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15036,58639,,,,,,,,8733,,,,,,,,,,,,,,,,,,8121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7054,,,,,21641,121320,,,,,222276,,,,6018,,,,,,,,,,,,,,,,,,,,,,,,6361,,,,,,,,,23357,,,,,,,,,,,,,,,12623,,42655,,,,,,31154,,,,,
Democratic People's Republic of Korea,408,46813,668,1394,,,,,,,,,,,,195,,,,,147,,,,,,,,,,,2686,,,,,,,,320,,,,,,,,27623,158,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,1366,,,,,,,,203,,,,,,,,,,,,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,504,2825,,,,,5176,,,,140,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,544,,,,,,,,,,,,,,,294,,993,,,,,,725,,,,,
"China, Hong Kong Special Administrative Region",344,2804753,4477,27041,,,,,,,,,,,,8982,,,,,439,,,,,,,,,,,,,,,,,,,14485,,,,,,,,2280210,,70454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2167,,,,,,1950,,,,,,,,,,,,,,,,,17789,132985,,,688,,,634,,14016,,,,,,,,,,,,,,,,,,15091,,,,,,,,,,,,,,,,,,,,9223,1007,,2221,,,,,,,,7463,,,,,,116505,,109,,,4774,,,,87,,,,,,,,,,,,,,,9761,,,,,,,,396,772,,,,,,718,,,18963,,,,,,,,,,,,,,,17455,,13092,,,,,,10799,,,,,
Japan,392,2437169,12632,52886,,,,,,,,,4515,,,13365,644,,,,13243,,,808,,,,,,,,365857,,,,,,2750,,13902,,,,,,,,655480,,,,,,,,,,,,,,,,647,,,,,1850,,,,,,,,,696,9523,,,,,,6669,2165,,,,,,,,,,,,,,,,22101,29058,6077,,1288,,,2650,,,,,,,,,,,,,,,,,,,,9237,,,,,,,,,2231,,,,,,,,,,,,1405,,4398,,,2871,,,454,,10622,,,,,68642,226179,1139,482,,,699290,,,,8509,,,,,,,,,,,,,,,2796,,,,,,,,1907,10352,,,,,1575,1187,,,46311,,,,,,,,,,,,,,,20812,,59991,,,,,,37973,,,,,
"China, Macao Special Administrative Region",446,333269,19126,4782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273862,21502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11539,,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,496,17225,143,428,,,,,,,,,,,,205,15,,,,,,,,,,,,,,,,,,14,,,,,135,,,,,,,,9163,,,,,,,,,,,,,16,551,,,,,,,,,,,,,,,,3,72,,,,,,160,,,,,,,,,,,,,,,11,,97,,,,9,,,19,,362,,184,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,149,13,,,,1606,,,,2609,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,18,,,,4,,,,,,,194,,,,,,,86,,692,,2,,,,241,,,,,
Republic of Korea,410,1232220,14387,43163,,,,,,,,,,,,5381,,,,,11615,,,,,,,,,,,,,,,,,14550,,18648,,,,,,,,656846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2505,,,,,,1932,,,,,,,,,,,,,,,,,5924,34215,,,,,,,,24244,,1536,,,,2042,,,,,,,,,,,,,,,,,,,,,,,,27145,,,,,4748,,,11479,,,2387,,,1600,,,,,10382,,,,,,49273,,,,,,,,,4816,,,,,,,,,,,,,,,,,,,,,2075,,,21653,,,,,,,,,34372,,,,,,,,,,,,,,,5149,,71817,,,25887,,,122449,,,,,
South-Eastern Asia,920,9509259,169734,404969,1721,220,465,0,0,517,0,1067,265,136,64,31021,797,0,0,1577,432101,0,0,684,0,0,0,0,35,0,0,1085,0,6178,206,0,0,767711,0,12531,131,0,0,0,0,0,95,645096,64021,20157,127,0,533,0,40,15,0,120,0,0,17,5833,45,1090,0,0,144,462,163,1,0,0,0,0,0,0,8,113,2672,0,0,0,0,0,6067,34,0,154,0,0,0,1199,34,0,0,0,0,0,21,246,55,347746,1221802,599,720,435,0,619,2406,0,156496,10644,0,55,0,172,0,930976,0,135,0,5,13306,0,0,0,0,0,1049953,0,0,0,14,0,0,0,0,147,0,3,0,0,0,6,0,2150790,0,0,212371,8749,0,33056,0,0,193,0,0,1969,411,159536,241,17,61,24,245,44914,111,1002,53,122,49719,0,0,35,97,4,0,0,0,0,0,0,0,0,2873,0,0,0,0,102181,0,0,0,0,1092,818,36,1313,27020,9,28,127,0,1245,1867,2151,0,105046,0,20124,3,0,0,0,572,886,0,0,0,0,0,435,50212,0,68473,0,14,0,0,8,140972,0,0,0,7,11
Brunei Darussalam,96,206173,530,1597,,,,,,,,,,,,934,,,,,2269,,,,,,,,,,,,,,,,,,,,,,,,,,,1047,6560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11367,352,,,,,,,,102441,,,,,,,,,,,,,,,,,,643,,,,,,,,,,,,,,,,,,,,387,1454,,25363,,,,,,,,335,,,,,,3468,,,,,10588,,,,,,,,,,,,,,,,,,,2285,,,,,,,,,4166,,,,,,,,,25451,,,,,,,,,,,,,,,4624,,312,,,,,,,,,,,
Cambodia,116,75566,913,2091,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,1550,119,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,281,,,,,,40,,,,,,,,,,,,,,,,,97,108,,,,,,16,,127,,,,,,,265,,,,,,,,,,,175,,,,,,,,,,,,,,,,,53,,,46,30,,,,,,,,,,41,,,,,,156,,,,,57,,,,30,,,,,,,,,,,,,,,125,,,,,,,,,48,,,,,,,,,31472,,,,,,,,,,,,,,,94,,200,,,,,,37225,,,,,
Indonesia,360,295433,28567,5346,,,,,,,,,,,,9476,,,,,,,,,,,,,,,,,,,,,,,,1875,,,,,,,,63172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10465,,,,,,,,,16522,10465,,,,,,,,,,,1979,,,,,,1979,,,,,,,,,,,,,,,,,,,,,6074,,,,,,,,,,7185,,,,,,3517,,,,,27907,,,,,,,,,,,,,,1979,,,,,19681,,,,,,,,,,,,,,,,1979,,19681,,19681,,,,,,,,,,,,,27351,,10552,,,,,,,,,,,
Lao People's Democratic Republic,418,21801,1143,3045,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,1201,,,,,,,,,,3014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652,,,,,,,,,,,,,,,,,,,,,,,11447,,,,,
Malaysia,458,2469173,81637,110133,492,,,,,,,,,,,5215,,,,,352005,,,,,,,,,,,,,5975,,,,13876,,,,,,,,,,10185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130320,1051227,,569,,,,,,16156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247768,,,201345,,,2103,,,,,,,,26377,,,,,,21345,,,,,3365,,,,,,,,,,,,,,,,,,,78092,,,,,950,,,,6516,,,,,,,,,8137,,,,,,,,,,,,,,,9676,,,,,,,,85709,,,,,
Myanmar,104,103117,3260,9780,,,,,,,,,,,,,,,,,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,47742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,608,213150,14071,42215,1228,118,465,,,76,,14,150,136,64,4018,507,,,112,160,,,536,,,,,35,,,163,,82,21,,,40,,5600,131,,,,,,95,36171,258,,127,,533,,40,,,10,,,17,5789,33,445,,,17,462,162,1,,,,,,,8,113,1212,,,,,,3808,34,,154,,,,1014,34,,,,,,21,246,55,10705,3325,590,72,435,,619,1742,,13834,179,,55,,172,,,,135,,3,49,,,,,,798,,,,14,,,,,147,,3,,,,6,,424,,,70,487,,387,,,193,,,656,411,502,34,17,61,24,112,,111,61,53,122,6948,,,35,67,,,,,,,,,,738,,,,,825,,,,,,818,35,1313,175,,28,127,,609,1040,63,,342,,143,,,,,572,885,,,,,,435,4309,,35779,,14,,,8,416,,,,7,10
Singapore,702,2323252,37659,225474,,,,,,,,,,,,9267,,,,,74074,,,,,,,,,,,,,,,,,,,4256,,,,,,,,380766,55948,20157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138177,152681,,,,,,,,,,,,,,,,,,,,,,,,,,1044994,,,,,,,,,,,,,,,,,,,,,,,3604,,,,,,,,118765,,,,,,14176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9817,,,,,,,,,17644,,,,,,,,,,,,,,,,,15793,,,,,,,,,,,
Thailand,764,3721735,387,593,1,,,,,,,,,,,1215,,,,,1084,,,,,,,,,,,,,,,,,750109,,624,,,,,,,,91611,,,,,,,,15,,,,,,0,12,645,,,,,1,,,,,0,,,,,1179,,,,,,1991,,,,,,,,,,,,,,,,,7938,645,9,79,,,,536,,6747,,,,,,,926427,,,,2,,,,,,,1191,,,,,,,,,,,,,,,,,1892480,,,8624,704,,1419,,,,,,617,,2151,,,,,,1196,,607,,,700,,,,,4,,,,,,,,,2,,,,,632,,,,,142,,1,,5912,9,,,,636,827,,,,,,3,,,,,1,,,,0,,,2531,,3529,,,,,,5966,,,0,,1
Timor-Leste,626,11569,148,1225,,,,,,,,,,,,555,,,,,133,,,,,,,,,,,198,,,,,,,,,,,,,,,,1199,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5793,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,246,,,,,,764,,334,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,72,,,,,,209,,,,,
Viet Nam,704,68290,1419,3470,,102,,,,441,,1053,115,,,205,290,,,1465,728,,,148,,,,,,,,724,,121,185,,,2485,,132,,,,,,,,8639,1136,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,228,,,,,,,185,,,,,,,,,,1673,7671,,,,,,112,,669,,,,,,,4284,,,,,11278,,,,,,,,,,,,,,,,,,,,,,,9783,,,1899,,,,,,,,,696,,251,207,,,,133,292,,,,,154,,,,,,,,,,,,,,154,,,,,466,,,,,,,,,386,,,,,,,109,,512,,300,,,,,,,,,,,,,1627,,2236,,,,,,,,,,,
